gene,class
CNR1,L2
PHF3,L6
RAB32,L1
SGK1,L6
RNF146,L6
CTGF,L6
FBXL5,L6
SLC16A7,L3
TMEM5,L6
ZNF430,L6
VAMP8,L1
CASQ2,L1
SPP1,L6
PPL,L4
PCDH17,L6
TJP2,L6
ITGB1BP1,L5
C1orf198,L6
SET,L6
CNTRL,L6
PHF19,L6
PPP6C,L6
INVS,L2
GALNT12,L6
DENND1A,L3
KDSR,L6
VPS4B,L6
FCF1,L6
PGF,L1
IFI27L2,L1
IFT43,L1
MLH3,L6
PPP4R4,L2
TGFB3,L6
YIPF4,L6
CRIPT,L6
EPCAM,L2
SLC17A5,L3
FAM178A,L6
IFIT2,L6
GPAM,L6
MXI1,L6
SMNDC1,L6
PRLHR,L2
KCNIP2,L2
GNA13,L6
DUSP1,L1
MOB3B,L6
ARAP3,L1
SEC16B,L4
GORAB,L6
PLXDC2,L6
CCDC77,L6
DNAJC15,L6
UFM1,L6
WBP4,L6
ALG5,L6
EXOSC8,L6
MYOT,L6
PLS1,L3
UTP20,L6
NFYB,L6
CHRNA2,L2
PDLIM2,L1
RNF170,L6
UBIAD1,L6
RDH10,L2
TRIM25,L4
TSHZ3,L4
KCNJ8,L5
TRMT1L,L6
DEPDC7,L6
CAT,L6
TBC1D15,L6
HCRTR1,L3
TMEM39B,L2
TNFSF10,L1
ZNF639,L6
PDS5A,L6
LRIF1,L2
CLCC1,L6
GPSM2,L6
POLK,L6
SV2C,L3
FLT3,L4
UBL3,L6
FYTTD1,L6
HS3ST2,L5
ANXA11,L2
LDB3,L6
NAA60,L2
RPL5,L1
PTGFR,L1
TRMT13,L6
ZNF644,L6
BBS9,L6
7-Sep,L6
KLHL7,L4
HNRNPA2B1,L6
NPY,L6
FAM126A,L6
INHBA,L2
ARL4A,L2
RAMP3,L1
TWIST1,L2
GLIPR2,L6
TRIM24,L6
C7orf49,L6
SRGN,L1
CHST3,L6
EGR2,L2
P4HA1,L6
VPS26A,L6
CIT,L3
CDKN2C,L6
BHLHE41,L6
CD97,L6
ZC3H13,L6
ATF1,L6
NCKAP1L,L1
PFDN5,L1
ORMDL2,L6
PLP1,L6
RAB9A,L6
TNFAIP6,L6
BAZ2B,L6
BATF3,L2
PLA2G12A,L6
GPR83,L2
MXD4,L1
DNPEP,L1
OBSL1,L2
FAM210B,L2
SLPI,L1
PREX1,L6
KCNS1,L3
SLC12A5,L3
PIGT,L6
TOX2,L3
EDN3,L2
PMEPA1,L2
RNF114,L6
KCNK15,L3
TP53TG5,L6
MTRR,L6
CHST8,L5
STAMBP,L6
PAIP2B,L6
SNRNP27,L6
ATP8A1,L6
ZNF45,L6
TRERF1,L2
PRICKLE4,L1
ZNF391,L2
CDKN1A,L1
SSR1,L6
DEK,L6
MYRF,L6
WNT1,L2
MT1G,L1
MT2A,L1
GOT2,L3
TMTC4,L6
6-Sep,L4
TMEM255A,L6
MSTO1,L3
C1orf61,L1
NPBWR2,L4
THOC2,L6
RPL23,L1
ATG4C,L6
TRIP10,L1
CD93,L1
CENPB,L6
NKX2-2,L6
TMX4,L3
STK35,L4
RRBP1,L6
FLRT3,L4
LAMP5,L2
MGME1,L6
MCM8,L6
FAM110A,L3
CITED1,L2
HNRNPR,L6
ID1,L1
EIF2S2,L6
ERGIC3,L1
AGO3,L6
ST3GAL3,L2
HECTD3,L3
PCID2,L2
HCST,L1
RRAS,L1
SBDS,L6
NSRP1,L6
ELK1,L2
PCNXL4,L6
KTN1,L6
L3HYPDH,L6
HSPA2,L6
SGPP1,L6
PLEKHG3,L6
EVI2A,L6
OMG,L6
AIF1L,L6
ARMCX1,L5
OMD,L1
BCL11B,L5
RAP1B,L6
RAB3IP,L6
IDUA,L2
GNG13,L3
METTL16,L6
PNKD,L3
GNG11,L1
HIP1,L6
FGL2,L1
STYXL1,L6
GNAI1,L6
PEX1,L6
SGCE,L6
ZFP36,L1
SRD5A3,L6
GAL3ST1,L6
A4GALT,L1
CDC42EP1,L6
APOL3,L1
MPST,L6
TST,L6
RAC2,L1
C22orf23,L6
DOCK4,L2
POT1,L6
FOXP2,L5
STRIP2,L2
DNAJB9,L5
FLNC,L6
LRRC4,L3
IRF5,L1
MYO1B,L2
HOXD1,L6
GAD1,L2
OSGEPL1,L6
ORMDL1,L6
HAT1,L6
TWSG1,L6
ARHGAP22,L6
NARG2,L6
DLL4,L1
FAM63B,L6
CLN6,L3
ISLR,L5
KCNC1,L3
KIF1C,L6
SLC44A2,L6
MTUS1,L6
RAB2B,L6
DTD2,L6
HEATR5A,L6
SNX6,L6
EGLN3,L6
RNASE1,L6
EPB41L4A,L6
SEC14L1,L2
CDKN1C,L6
RPS4Y1,L1
MAU2,L6
TNNI3,L1
CBFA2T3,L2
PHF10,L6
SAT1,L1
SH3BP4,L6
MOSPD2,L6
PRKCSH,L6
CNN1,L1
THEM6,L3
PVRL2,L1
APOC1,L1
LRCH2,L6
DPP6,L2
RPL36,L1
BST2,L1
SLC27A1,L6
PGLS,L1
LSM7,L1
TULP4,L6
SNX9,L6
ARPC1B,L1
ZSWIM6,L6
FCHO1,L6
COL5A1,L2
CEP85,L6
ASS1,L2
FIBCD1,L6
GMFG,L1
THEMIS2,L6
HIP1R,L6
C19orf66,L2
PNCK,L2
DUSP9,L2
SLC35D2,L6
PRRG1,L6
UBA1,L4
PPIL4,L6
RBM39,L6
COX4I2,L1
ACSS2,L6
HIGD1B,L1
ZNF227,L6
SH3BP5,L6
CAPN7,L6
KCNC3,L3
MGAT1,L1
RPL27,L1
PSMC3IP,L6
RAMP2,L1
DIAPH1,L2
NINJ1,L1
WDR44,L6
CHD1L,L6
PIAS3,L2
RBM8A,L6
VIMP,L6
LLGL1,L6
THAP1,L6
ABHD12B,L2
LGALS3,L1
DNAJB1,L3
