gene,class
MLLT3,BIPO
MMADHC-DT,BIPO
MMP10,BIPO
MMP16,BIPO
MMP2,BIPO
MMP3,BIPO
MMP9,BIPO
MPP6,BIPO
MPPE1,BIPO
MRC1,BIPO
MRGPRX1,BIPO
MRGPRX3,BIPO
MRGPRX4,BIPO
MRPL33,BIPO
MRPS33,BIPO
MS,BIPO
MSMB,BIPO
MST1,BIPO
MTA2,BIPO
MTCO2P12,BIPO
MTERF4,BIPO
MTHFD1,BIPO
MTHFR,BIPO
MTNR1B,BIPO
MTR,BIPO
MTRR,BIPO
MUCL3,BIPO
MUSK,BIPO
MXD1,BIPO
MYH7B,BIPO
MYO1H,BIPO
MYO5B,BIPO
MYRF,BIPO
MYRF-AS1,BIPO
MZB1,BIPO
NANOS3,BIPO
NAPEPLD,BIPO
NAPG,BIPO
NCAM1,BIPO
NCAN,BIPO
NCOR2,BIPO
NCS1,BIPO
ND1,BIPO
ND4,BIPO
NDEL1,BIPO
NDST3,BIPO
NDUFA6,BIPO
NDUFS1,BIPO
NDUFV1,BIPO
NDUFV2,BIPO
NDUFV3,BIPO
NEDD4,BIPO
NEFL,BIPO
NEFM,BIPO
NEK4,BIPO
NEK7,BIPO
NFATC3,BIPO
NFE2L2,BIPO
NFIA,BIPO
NFIX,BIPO
NFKB1,BIPO
NFKB2,BIPO
NFYC,BIPO
NGF,BIPO
NGFR,BIPO
NHS,BIPO
NISCH,BIPO
NLGN1,BIPO
NLRP3,BIPO
NNMT,BIPO
NOD2,BIPO
NOS1,BIPO
NOS1AP,BIPO
NOS2,BIPO
NOS3,BIPO
NOTCH3,BIPO
NOTCH4,BIPO
NPAS2,BIPO
NPAS3,BIPO
NPIPB7,BIPO
NPL,BIPO
NPTX1,BIPO
NR1D1,BIPO
NR1H4,BIPO
NR1I2,BIPO
NR2E1,BIPO
NR3C1,BIPO
NR3C2,BIPO
NR4A2,BIPO
NR4A3,BIPO
NRAS,BIPO
NRG1,BIPO
NRG3,BIPO
NRGN,BIPO
NRN1,BIPO
NRXN1,BIPO
NT5C2,BIPO
NTF3,BIPO
NTNG1,BIPO
NTNG2,BIPO
NTRK1,BIPO
NTRK2,BIPO
NUFIP2,BIPO
NUMB,BIPO
NUP214,BIPO
OAS3,BIPO
OBP2A,BIPO
OIP5-AS1,BIPO
OPN1SW,BIPO
OPN5,BIPO
OPRM1,BIPO
OR10A4,BIPO
OTUD7A,BIPO
OTX2,BIPO
OXER1,BIPO
OXTR,BIPO
P2RX1,BIPO
P2RX2,BIPO
P2RX3,BIPO
P2RX4,BIPO
P2RX5,BIPO
P2RX5-TAX1BP3,BIPO
P2RX6,BIPO
P2RX7,BIPO
P2RY1,BIPO
P2RY2,BIPO
PACC1,BIPO
PACS1,BIPO
PAH,BIPO
PALB2,BIPO
PARK7,BIPO
PARP10,BIPO
PARP9,BIPO
PART1,BIPO
PAWR,BIPO
PBRM1,BIPO
PC,BIPO
PCDH12,BIPO
PCDH15,BIPO
PCDH17,BIPO
PCDHA1,BIPO
PCLO,BIPO
PCNT,BIPO
PDE10A,BIPO
PDE11A,BIPO
PDE2A,BIPO
PDE3B,BIPO
PDE4A,BIPO
PDE4B,BIPO
PDE9A,BIPO
PDLIM4,BIPO
PDLIM5,BIPO
PDLIM7,BIPO
PDYN,BIPO
PENK,BIPO
PER2,BIPO
PER3,BIPO
PFKFB3,BIPO
PFKL,BIPO
PGAM1,BIPO
PGAP3,BIPO
PGC,BIPO
PGP,BIPO
PHETA1,BIPO
PHF7,BIPO
PHOBS,BIPO
PI4K2B,BIPO
PIK3C2A,BIPO
PIK3C3,BIPO
PIK3CA,BIPO
PIP4K2A,BIPO
PIP4K2C,BIPO
PKP4,BIPO
PLA2G10,BIPO
PLA2G1B,BIPO
PLA2G2A,BIPO
PLA2G4A,BIPO
PLA2G6,BIPO
PLB1,BIPO
PLCB1,BIPO
PLCB4,BIPO
PLCG1,BIPO
PLCXD3,BIPO
PLEKHO1,BIPO
PLET1,BIPO
PLXNA2,BIPO
PMCH,BIPO
PMEL,BIPO
PNPLA3,BIPO
POGLUT2,BIPO
POLG,BIPO
POLG2,BIPO
POMC,BIPO
PON1,BIPO
POR,BIPO
POU3F1,BIPO
POU3F2,BIPO
PPARD,BIPO
PPARG,BIPO
PPARGC1A,BIPO
PPID,BIPO
PPIE,BIPO
PPIEL,BIPO
PPM1K,BIPO
PPM1M,BIPO
PPP1R1B,BIPO
PPP1R2C,BIPO
PPP1R9A,BIPO
PPP2R2C,BIPO
PPP3CB,BIPO
PPP3CC,BIPO
PREP,BIPO
PRKAR1A,BIPO
PRKCB,BIPO
PRKCI,BIPO
PRKCZ,BIPO
PRNP,BIPO
PRODH,BIPO
PROK2,BIPO
PROKR2,BIPO
PROM1,BIPO
PRPF6,BIPO
PRR5-ARHGAP8,BIPO
PRS,BIPO
PRSS35,BIPO
PSD,BIPO
PSEN2,BIPO
PSMG1,BIPO
PSPH,BIPO
PSPN,BIPO
PSS,BIPO
PTGDS,BIPO
PTGS1,BIPO
PTGS2,BIPO
PTOV1,BIPO
PTPA,BIPO
PTPN5,BIPO
PTPRG,BIPO
PTS,BIPO
PVALB,BIPO
PWAR1,BIPO
QPCT,BIPO
RAB40B,BIPO
RABGEF1,BIPO
RAC1,BIPO
RACK1,BIPO
RAP1A,BIPO
RAPGEF5,BIPO
RAPSN,BIPO
RARA,BIPO
RARRES2,BIPO
RASAL2,BIPO
RASGRF1,BIPO
RASGRF2,BIPO
RASGRP1,BIPO
RASIP1,BIPO
RASSF7,BIPO
RBKS,BIPO
RBM3,BIPO
RBM45,BIPO
RBMS3,BIPO
RCBTB1,BIPO
REG1A,BIPO
REG3A,BIPO
RELN,BIPO
REM1,BIPO
REN,BIPO
RERE,BIPO
RFESD,BIPO
RFX4,BIPO
RGS4,BIPO
RIDA,BIPO
RIMS1,BIPO
RIPK2,BIPO
RIT2,BIPO
RNF41,BIPO
RNLS,BIPO
ROR1,BIPO
RORA,BIPO
RORB,BIPO
RPGRIP1L,BIPO
RPL29,BIPO
RPN2,BIPO
RPRD1B,BIPO
RPRD2,BIPO
RPS23,BIPO
RPS6KA2,BIPO
RPS6KA3,BIPO
RREB1,BIPO
RRM2B,BIPO
RTN4,BIPO
RXRG,BIPO
S100A10,BIPO
S100A11,BIPO
S100B,BIPO
S1PR1,BIPO
SART3,BIPO
SAT1,BIPO
SCD,BIPO
SCN11A,BIPO
SCN2A,BIPO
SCN8A,BIPO
SCZD10,BIPO
SCZD12,BIPO
SCZD13,BIPO
SDCCAG8,BIPO
SDHC,BIPO
SEC11A,BIPO
SEC24C,BIPO
